X;Y;fijacion;modelo;nomcalle;portal;barrio;leyenda_mo;codigo;observ;distritos
722029.019;4375342.528;;;;;;;537;;
721929.934;4375285.99899999984;;;;;;;538;;
721901.352;4375315.852;;;;;;;539;;
721842.282;4375278.37799999956;;;;;;;540;;
721773.686;4375287.905;;;;;;;541;;
721737.482;4375280.918;;;;;;;542;;
721740.022;4375313.946;;;;;;;543;;
721803.538;4375176.11699999962;;;;;;;544;;
721857.526;4375187.55;;;;;;;545;;
721943.272;4375183.104;;;;;;;546;;
721948.989;4375124.67;;;;;;;550;;
721921.042;4375085.29;;;;;;;551;;
722030.289;4375090.371;;;;;;;552;;
722035.37;4375159.603;;;;;;;553;;
722060.141;4375190.091;;;;;;;554;;
722163.672;4375173.576;;;;;;;555;;
722191.619;4375160.238;;;;;;;556;;
722200.511;4375113.872;;;;;;;557;;
722234.174;4375114.507;;;;;;;558;;
722297.69;4375122.12899999972;;;;;;;559;;
722161.766;4375287.27;;;;;;;560;;
722140.655;4375349.68599999975;;;;;;;561;;
722136.995;4375416.842;;;;;;;562;;
722127.91;4375407.74299999978;;;;;;;563;;
722062.682;4375381.90799999982;;;;;;;564;;
722093.805;4375578.171;;;;;;;565;;
722087.857;4375601.398;;;;;;;566;;
722117.999;4375600.13399999961;;;;;;;567;;
722221.471;4375488.614;;;;;;;568;;
722299.596;4375544.508;;;;;;;569;;
722393.599;4375612.47;;;;;;;570;;
722408.843;4375558.48099999968;;;;;;;571;;
722423.451;4375515.926;;;;;;;572;;
722430.438;4375491.79;;;;;;;573;;
721790.199;4375073.85699999984;;;;;;;574;;
723285.994;4374885.85;;;;;;;575;;
723213.586;4374840.11799999978;;;;;;;576;;
723186.274;4374868.065;;;;;;;578;;
723176.112;4374847.105;;;;;;;579;;
723141.178;4374901.729;;;;;;;580;;
723122.759;4374930.946;;;;;;;581;;
723139.273;4374871.241;;;;;;;582;;
723112.596;4374856.632;;;;;;;583;;
723075.757;4374758.183;;;;;;;584;;
722991.916;4374701.654;;;;;;;585;;
721602.193;4375707.744;;;;;;;588;;
721760.348;4375805.558;;;;;;;589;;
725046.007;4375853.893;;;;;;;590;;
725059.734;4375876.11699999962;;;;;;;592;;
725070.846;4375893.11099999957;;;;;;;593;;
725028.359;4375869.58;;;;;;;594;;
724983.258;4375936.906;;;;;;;595;;
724962.341;4375949.978;;;;;;;596;;
